,int,load_north,load_south,int_2,Wind_north,Solar_north,Wind_south,Solar_south
0 days 00:00:00,1.0,15532.8,36243.2,1.0,0.55,0.0,0.35,0.0
0 days 01:00:00,2.0,17064.96,34647.04,2.0,0.42,0.0,0.31,0.0
0 days 02:00:00,3.0,15186.420000000002,41059.58,3.0,0.33,0.0,0.26,0.0
0 days 03:00:00,4.0,21223.5,49521.5,4.0,0.28,0.12,0.18,0.02
0 days 04:00:00,5.0,21433.03,52473.97,5.0,0.21,0.27,0.15,0.15
0 days 05:00:00,6.0,22447.5,52377.5,6.0,0.18,0.36,0.12,0.32
0 days 06:00:00,7.0,20421.52,52512.479999999996,7.0,0.21,0.35,0.08,0.29
0 days 07:00:00,8.0,24444.0,45396.0,8.0,0.23,0.27,0.15,0.12
0 days 08:00:00,9.0,24780.9,48104.1,9.0,0.18,0.09,0.14,0.07
0 days 09:00:00,10.0,21190.2,49443.8,10.0,0.14,0.0,0.12,0.0
0 days 10:00:00,11.0,20720.04,42067.96,11.0,0.11,0.0,0.14,0.0
0 days 11:00:00,12.0,20171.55,37461.45,12.0,0.05,0.0,0.11,0.0
0 days 12:00:00,13.0,16868.52,29988.48,13.0,0.07,0.0,0.05,0.0
0 days 13:00:00,14.0,18546.28,30259.72,14.0,0.08,0.0,0.06,0.0
0 days 14:00:00,15.0,20102.16,39021.84,15.0,0.13,0.03,0.11,0.04
0 days 15:00:00,16.0,27601.199999999997,39718.8,16.0,0.16,0.13,0.15,0.18
0 days 16:00:00,17.0,23764.3,44133.7,17.0,0.18,0.25,0.17,0.41
0 days 17:00:00,18.0,23438.24,45497.759999999995,18.0,0.22,0.32,0.21,0.45
0 days 18:00:00,19.0,21522.24,45734.759999999995,19.0,0.25,0.31,0.28,0.44
0 days 19:00:00,20.0,19314.3,45066.7,20.0,0.28,0.17,0.31,0.38
0 days 20:00:00,21.0,21009.120000000003,42654.88,21.0,0.29,0.04,0.33,0.15
0 days 21:00:00,22.0,19848.32,42177.68,22.0,0.26,0.0,0.28,0.0
0 days 22:00:00,23.0,17854.14,39739.86,23.0,0.18,0.0,0.13,0.0
0 days 23:00:00,24.0,14758.5,34436.5,24.0,0.14,0.0,0.11,0.0
1 days 00:00:00,25.0,15532.8,36243.2,25.0,0.21,0.0,0.15,0.0
