,total load,north,south
0 days 00:00:00,44717.4,12728.1,31989.3
0 days 04:10:00,55717.7,14509.7,41208.1
0 days 08:20:00,62790.6,15966.6,46824.0
0 days 12:30:00,60012.7,22739.5,37273.2
0 days 16:40:00,59462.7,19954.2,39508.5
0 days 20:50:00,50718.3,21614.9,29103.4
0 days 00:00:00,44717.4,18904.6,25812.8
0 days 04:10:00,55717.7,15283.9,40433.8
0 days 08:20:00,62790.6,24613.9,38176.7
0 days 12:30:00,60012.7,19174.3,40838.4
0 days 16:40:00,59462.7,14419.5,45043.2
0 days 20:50:00,50718.3,15409.9,35308.4
