,load_north,load_south,Wind_north,Solar_north,Wind_south,Solar_south
0 days 00:00:00,11170.0,33270.0,0.43,0.0,0.31,0.0
0 days 02:05:00,10250.0,34890.0,0.24,0.2,0.16,0.08
0 days 04:10:00,11510.0,40580.0,0.2,0.36,0.1,0.3
0 days 06:15:00,20510.0,38830.0,0.2,0.18,0.15,0.1
0 days 08:20:00,18900.0,43640.0,0.12,0.0,0.13,0.0
0 days 10:25:00,24760.0,38280.0,0.06,0.0,0.08,0.0
0 days 12:30:00,23620.0,37030.0,0.11,0.02,0.08,0.02
0 days 14:35:00,14310.0,45070.0,0.17,0.19,0.16,0.3
0 days 16:40:00,21830.0,39040.0,0.24,0.32,0.24,0.44
0 days 18:45:00,16610.0,41440.0,0.29,0.11,0.32,0.26
0 days 20:50:00,10930.0,41330.0,0.22,0.0,0.2,0.0
0 days 22:55:00,12880.0,34750.0,0.18,0.0,0.13,0.0
